#,Word,Link,POS,POS_Desc,Category
58,alarm,https://www.handspeak.com/word/a/alarm.mp4,NN,"noun, singular",Health
59,alcoholism,https://www.handspeak.com/word/a/alcoholic-aa.mp4,NN,"noun, singular",Health
60,all,https://www.handspeak.com/word/a/all.mp4,DT,determiner,
61,everybody,https://www.handspeak.com/word/e/everybody.mp4,NN,"noun, singular",
62,all right,https://www.handspeak.com/word/a/all-right.mp4,DT,determiner,
63,allergy,https://www.handspeak.com/word/a/allergy.mp4,NN,"noun, singular",Health
64,allergy attack,https://www.handspeak.com/word/a/allergy-attack.mp4,JJ,adjective,Health
65,allow,https://www.handspeak.com/word/a/allow.mp4,VB,"verb, base form",
66,almost,https://www.handspeak.com/word/a/almost.mp4,RB,adverb very,
67,by a hair,https://www.handspeak.com/word/b/by-hair.mp4,IN,preposition/subordinating conjunction,
68,alone,https://www.handspeak.com/word/a/alone.mp4,RB,adverb very,
69,also,https://www.handspeak.com/word/a/also.mp4,RB,adverb very,
70,altogether,https://www.handspeak.com/word/a/altogether.mp4,RB,adverb very,
71,always,https://www.handspeak.com/word/a/always.mp4,RB,adverb very,
72,ambulance,https://www.handspeak.com/word/a/ambulance.mp4,NN,"noun, singular",Health
73,America,https://www.handspeak.com/word/a/america.mp4,NNP,"proper noun, singular",Country
74,North America,https://www.handspeak.com/word/n/north-america.mp4,NNP,"proper noun, singular",Country
75,South America,https://www.handspeak.com/word/s/south-america2.mp4,NNP,"proper noun, singular",Country
76,flu,https://www.handspeak.com/word/f/flu-fs.mp4,NN,"noun, singular",Health
77,first aid,https://www.handspeak.com/word/f/first-aid.mp4,RB,adverb very,Health
78,fracture,https://www.handspeak.com/word/f/fracture.mp4,NN,"noun, singular",Health
79,and,https://www.handspeak.com/word/a/and.mp4,CC,coordinating conjunction,
80,angel,https://www.handspeak.com/word/a/angel.mp4,NN,"noun, singular",
81,angry,https://www.handspeak.com/word/a/angry.mp4,JJ,adjective,
82,animal,https://www.handspeak.com/word/a/animal.mp4,NN,"noun, singular",animal
83,animation,https://www.handspeak.com/word/a/animation.mp4,NN,"noun, singular",
84,apology,https://www.handspeak.com/word/a/apology.mp4,NN,"noun, singular",
85,announce,https://www.handspeak.com/word/a/announce.mp4,NN,"noun, singular",
86,annoyed,https://www.handspeak.com/word/a/annoyed.mp4,NNS,noun plural,
87,annual,https://www.handspeak.com/word/a/annual.mp4,JJ,adjective,
88,anoint,https://www.handspeak.com/word/a/anoint.mp4,NN,"noun, singular",
89,another,https://www.handspeak.com/word/a/another.mp4,DT,determiner,
90,answer,https://www.handspeak.com/word/a/answer.mp4,NN,"noun, singular",
91,any,https://www.handspeak.com/word/a/any.mp4,DT,determiner,
92,anything,https://www.handspeak.com/word/a/anything2.mp4,NN,"noun, singular",
93,anytime,https://www.handspeak.com/word/a/any-time.mp4,NN,"noun, singular",
94,apart,https://www.handspeak.com/word/a/apart.mp4,RB,adverb very,
95,appear,https://www.handspeak.com/word/a/appear-showup.mp4,VB,"verb, base form",
96,appearance,https://www.handspeak.com/word/a/appearance.mp4,NN,"noun, singular",
97,apple,https://www.handspeak.com/word/a/apple.mp4,NN,"noun, singular",Food
98,appoint,https://www.handspeak.com/word/a/appoint.mp4,NN,"noun, singular",
99,approach,https://www.handspeak.com/word/a/approach.mp4,NN,"noun, singular",
100,tactic,https://www.handspeak.com/word/t/tactic-plan.mp4,JJ,adjective,
101,appropriation,https://www.handspeak.com/word/a/appropriation.mp4,NN,"noun, singular",
102,approve,https://www.handspeak.com/word/a/approve.mp4,VB,"verb, base form",
103,up to now,https://www.handspeak.com/word/u/up-to-now.mp4,RB,adverb very,
104,argue,https://www.handspeak.com/word/a/argue.mp4,NN,"noun, singular",
105,arm,https://www.handspeak.com/word/a/arm.mp4,NN,"noun, singular",
106,armadillo,https://www.handspeak.com/word/a/armadillo.mp4,NN,"noun, singular",animal
107,army,https://www.handspeak.com/word/a/army.mp4,NN,"noun, singular",
108,around,https://www.handspeak.com/word/a/around-env.mp4,IN,preposition/subordinating conjunction,
109,surrounding,https://www.handspeak.com/word/s/surrounding.mp4,VBG,"verb, gerund/present participle",
110,arrest,https://www.handspeak.com/word/a/arrest.mp4,NN,"noun, singular",
111,detain,https://www.handspeak.com/word/d/detain.mp4,NN,"noun, singular",
112,seize,https://www.handspeak.com/word/s/seize.mp4,NN,"noun, singular",
113,arrive,https://www.handspeak.com/word/a/arrive.mp4,JJ,adjective,
114,art,https://www.handspeak.com/word/a/art.mp4,NN,"noun, singular",
115,flicker,https://www.handspeak.com/word/f/flicker.mp4,NN,"noun, singular",
116,article,https://www.handspeak.com/word/a/article.mp4,NN,"noun, singular",
117,ask,https://www.handspeak.com/word/a/ask.mp4,NN,"noun, singular",
118,ask away,https://www.handspeak.com/word/a/ask-away.mp4,VB,"verb, base form",
119,ask out,https://www.handspeak.com/word/a/ask-out.mp4,VB,"verb, base form",
120,ASL,https://www.handspeak.com/word/a/asl-fs.mp4,NN,"noun, singular",
121,rote learning,https://www.handspeak.com/word/r/rote-learning.mp4,NN,"noun, singular",
122,association,https://www.handspeak.com/word/a/association.mp4,NN,"noun, singular",
123,asthma,https://www.handspeak.com/word/a/asthma.mp4,NN,"noun, singular",Health
124,athlete,https://www.handspeak.com/word/a/athlete.mp4,NN,"noun, singular",
125,attention,https://www.handspeak.com/word/a/attention.mp4,NN,"noun, singular",Education
126,hear,https://www.handspeak.com/word/h/hear-sound.mp4,NN,"noun, singular",
127,attract attention,https://www.handspeak.com/word/a/attract-attention.mp4,JJ,adjective,
128,attitude,https://www.handspeak.com/word/a/attitude.mp4,NN,"noun, singular",
129,attractive,https://www.handspeak.com/word/a/attract.mp4,JJ,adjective,
130,auction,https://www.handspeak.com/word/a/auction.mp4,NN,"noun, singular",
131,audiology,https://www.handspeak.com/word/a/audiology.mp4,NN,"noun, singular",Health
132,aunt,https://www.handspeak.com/word/a/aunt.mp4,NN,"noun, singular",
133,Australia,https://www.handspeak.com/word/a/australia.mp4,NNP,"proper noun, singular",Country
134,Australian,https://www.handspeak.com/word/a/australia2.mp4,JJ,adjective,Country
135,Austria,https://www.handspeak.com/word/a/austria.mp4,NNS,noun plural,Country
136,Austrian,https://www.handspeak.com/word/a/austria2.mp4,JJ,adjective,Country
137,author,https://www.handspeak.com/word/a/author.mp4,NN,"noun, singular",Education
138,automatic,https://www.handspeak.com/word/a/automatic.mp4,JJ,adjective,
139,median,https://www.handspeak.com/word/m/median.mp4,NN,"noun, singular",
140,average,https://www.handspeak.com/word/a/average-divide.mp4,JJ,adjective,
141,avoid,https://www.handspeak.com/word/a/avoid.mp4,NN,"noun, singular",
142,award,https://www.handspeak.com/word/a/award-verb.mp4,NN,"noun, singular",
143,prize,https://www.handspeak.com/word/p/prize-fs.mp4,NN,"noun, singular",
144,away,https://www.handspeak.com/word/a/away.mp4,RB,adverb very,
145,awe,https://www.handspeak.com/word/a/awe.mp4,NN,"noun, singular",
146,awestruck,https://www.handspeak.com/word/a/awestruck.mp4,NN,"noun, singular",
147,awful,https://www.handspeak.com/word/a/awful.mp4,NN,"noun, singular",
148,awkward,https://www.handspeak.com/word/a/awkward.mp4,NN,"noun, singular",
149,backward,https://www.handspeak.com/word/b/backward.mp4,NN,"noun, singular",
150,bad,https://www.handspeak.com/word/b/bad.mp4,JJ,adjective,
151,bagel,https://www.handspeak.com/word/b/bagel.mp4,NN,"noun, singular",Food
152,Bahrain,https://www.handspeak.com/word/b/bahrain.mp4,NN,"noun, singular",Country
153,bald,https://www.handspeak.com/word/b/bald.mp4,NN,"noun, singular",
154,ball,https://www.handspeak.com/word/b/ball.mp4,NN,"noun, singular",
155,balloon,https://www.handspeak.com/word/b/balloon.mp4,NN,"noun, singular",
156,banana,https://www.handspeak.com/word/b/banana.mp4,NN,"noun, singular",Food
157,basement,https://www.handspeak.com/word/b/basement.mp4,NN,"noun, singular",
158,basic,https://www.handspeak.com/word/b/basic.mp4,JJ,adjective,
159,basketball,https://www.handspeak.com/word/b/basketball.mp4,NN,"noun, singular",
160,basking,https://www.handspeak.com/word/b/basking.mp4,NN,"noun, singular",
161,battery,https://www.handspeak.com/word/b/battery.mp4,NN,"noun, singular",
162,bark,https://www.handspeak.com/word/b/bark.mp4,NN,"noun, singular",
163,baseball,https://www.handspeak.com/word/b/baseball.mp4,NN,"noun, singular",
164,bath,https://www.handspeak.com/word/b/bath.mp4,NN,"noun, singular",
165,bawl out,https://www.handspeak.com/word/b/bawl-out.mp4,NN,"noun, singular",
166,been to,https://www.handspeak.com/word/b/been-to.mp4,VBN,"verb, past participle",
167,beach,https://www.handspeak.com/word/b/beach.mp4,NN,"noun, singular",
168,bear,https://www.handspeak.com/word/b/bear.mp4,NN,"noun, singular",animal
169,beat (defeat),https://www.handspeak.com/word/b/beat-it.mp4,NN,"noun, singular",
170,beat (sound),https://www.handspeak.com/word/b/beat-sound.mp4,NN,"noun, singular",
171,beautiful,https://www.handspeak.com/word/b/beautiful.mp4,NN,"noun, singular",
172,because,https://www.handspeak.com/word/b/because.mp4,IN,preposition/subordinating conjunction,
173,as,https://www.handspeak.com/word/a/as-since.mp4,IN,preposition/subordinating conjunction,
174,become,https://www.handspeak.com/word/b/become.mp4,NN,"noun, singular",
175,bed,https://www.handspeak.com/word/b/bed.mp4,NN,"noun, singular",
176,bedroom,https://www.handspeak.com/word/b/bedroom.mp4,NN,"noun, singular",
177,before,https://www.handspeak.com/word/b/before.mp4,IN,preposition/subordinating conjunction,
178,hitherto,https://www.handspeak.com/word/b/hitherto.mp4,NN,"noun, singular",
179,predecessor,https://www.handspeak.com/word/p/predecessor.mp4,NN,"noun, singular",
180,beg,https://www.handspeak.com/word/b/beg.mp4,NN,"noun, singular",
181,petition,https://www.handspeak.com/word/p/petition.mp4,NN,"noun, singular",
182,behind,https://www.handspeak.com/word/b/behind.mp4,IN,preposition/subordinating conjunction,
183,believe,https://www.handspeak.com/word/b/believe.mp4,VB,"verb, base form",
184,below,https://www.handspeak.com/word/b/below.mp4,IN,preposition/subordinating conjunction,
185,belt,https://www.handspeak.com/word/b/belt-waist.mp4,NN,"noun, singular",
186,benefit,https://www.handspeak.com/word/b/benefit.mp4,NN,"noun, singular",
187,Bern,https://www.handspeak.com/word/b/bern-ch.mp4,NNP,"proper noun, singular",Country
188,best,https://www.handspeak.com/word/b/best.mp4,JJS,"adjective, superlative",
189,better,https://www.handspeak.com/word/b/better.mp4,RBR,"adverb, comparative",
190,between,https://www.handspeak.com/word/b/between.mp4,IN,preposition/subordinating conjunction,
191,Bhaktapur,https://www.handspeak.com/word/b/bhaktapur.mp4,NNP,"proper noun, singular",Country
192,bible,https://www.handspeak.com/word/b/bible.mp4,JJ,adjective,
193,bicycle,https://www.handspeak.com/word/b/bicycle.mp4,NN,"noun, singular",
194,bid,https://www.handspeak.com/word/b/bid.mp4,NN,"noun, singular",
195,big,https://www.handspeak.com/word/b/big.mp4,JJ,adjective,
196,"bin Laden, Osama",https://www.handspeak.com/word/b/bin-laden.mp4,NN,"noun, singular",Education
197,binocular,https://www.handspeak.com/word/b/binocular.mp4,NN,"noun, singular",
198,bird,https://www.handspeak.com/word/b/bird.mp4,NN,"noun, singular",animal
199,birthday,https://www.handspeak.com/word/b/birthday.mp4,NN,"noun, singular",
200,birthdate,https://www.handspeak.com/word/b/birthdate.mp4,NN,"noun, singular",
201,what else,https://www.handspeak.com/word/w/what-else.mp4,WP,wh-pronoun,
202,bite,https://www.handspeak.com/word/b/bite-something.mp4,NN,"noun, singular",
203,gnaw,https://www.handspeak.com/word/g/gnaw-bite.mp4,NN,"noun, singular",
204,hearing impaired,https://www.handspeak.com/word/h/hearing- impaired.mp4,NN,"noun, singular",
205,bitter,https://www.handspeak.com/word/b/bitter.mp4,NN,"noun, singular",
206,acid,https://www.handspeak.com/word/a/acid-fs.mp4,NN,"noun, singular",
207,board of directors,https://www.handspeak.com/word/b/board-org.mp4,NN,"noun, singular",
208,boat,https://www.handspeak.com/word/b/boat.mp4,NN,"noun, singular",
209,body,https://www.handspeak.com/word/b/body.mp4,NN,"noun, singular",Health
210,book,https://www.handspeak.com/word/b/book.mp4,NN,"noun, singular",Education
211,book art,https://www.handspeak.com/word/b/book-art.mp4,NN,"noun, singular",
212,bookcase,https://www.handspeak.com/word/b/bookcase.mp4,NN,"noun, singular",
213,bored,https://www.handspeak.com/word/b/bored.mp4,VBN,"verb, past participle",
214,bland,https://www.handspeak.com/word/b/bland-taste.mp4,NN,"noun, singular",
215,born,https://www.handspeak.com/word/b/born.mp4,NN,"noun, singular",
216,borrow,https://www.handspeak.com/word/b/borrow.mp4,NN,"noun, singular",
217,bother,https://www.handspeak.com/word/b/bother.mp4,NN,"noun, singular",
218,bottle,https://www.handspeak.com/word/b/bottle.mp4,NN,"noun, singular",
219,bottom,https://www.handspeak.com/word/b/bottom.mp4,NN,"noun, singular",
220,bounce,https://www.handspeak.com/word/b/bounce-ball.mp4,NN,"noun, singular",
221,bounce rate,https://www.handspeak.com/word/b/bounce.mp4,NN,"noun, singular",
222,bowl,https://www.handspeak.com/word/b/bowl.mp4,NN,"noun, singular",
223,boy,https://www.handspeak.com/word/b/boy.mp4,NN,"noun, singular",
224,boyfriend,https://www.handspeak.com/word/b/boyfriend.mp4,NN,"noun, singular",
225,black,https://www.handspeak.com/word/b/black.mp4,JJ,adjective,
226,blame,https://www.handspeak.com/word/b/blame.mp4,NN,"noun, singular",
227,bless,https://www.handspeak.com/word/b/bless.mp4,NN,"noun, singular",
228,blind,https://www.handspeak.com/word/b/blind.mp4,NN,"noun, singular",Health
229,gentleman,https://www.handspeak.com/word/g/gentleman.mp4,NN,"noun, singular",
230,blonde,https://www.handspeak.com/word/b/blonde.mp4,NN,"noun, singular",
231,blood,https://www.handspeak.com/word/b/blood.mp4,NN,"noun, singular",Health
232,blue,https://www.handspeak.com/word/b/blue.mp4,NN,"noun, singular",
233,blur,https://www.handspeak.com/word/b/blur.mp4,NN,"noun, singular",
234,Bolivia,https://www.handspeak.com/word/b/bolivia-bo.mp4,NN,"noun, singular",Country
235,bomb,https://www.handspeak.com/word/b/bomb.mp4,NN,"noun, singular",
236,boss,https://www.handspeak.com/word/b/boss.mp4,NN,"noun, singular",
237,bossy,https://www.handspeak.com/word/b/bossy-command.mp4,NN,"noun, singular",
238,both,https://www.handspeak.com/word/b/both.mp4,DT,determiner,
239,boxing,https://www.handspeak.com/word/b/boxing.mp4,NN,"noun, singular",
240,brag,https://www.handspeak.com/word/b/brag.mp4,NN,"noun, singular",
241,braid,https://www.handspeak.com/word/b/braid.mp4,NN,"noun, singular",
242,brainstorm,https://www.handspeak.com/word/b/brainstorm.mp4,NN,"noun, singular",
243,brainwash,https://www.handspeak.com/word/b/brainwash.mp4,NN,"noun, singular",
244,braille,https://www.handspeak.com/word/b/braille.mp4,NN,"noun, singular",Health
245,brave,https://www.handspeak.com/word/b/brave.mp4,NN,"noun, singular",
246,bread,https://www.handspeak.com/word/b/bread.mp4,NN,"noun, singular",Food
247,break,https://www.handspeak.com/word/b/break.mp4,NN,"noun, singular",
248,break (recess),https://www.handspeak.com/word/b/break-recess.mp4,NN,"noun, singular",
249,break down,https://www.handspeak.com/word/b/break-down.mp4,VB,"verb, base form",
250,break up,https://www.handspeak.com/word/b/break-up.mp4,VB,"verb, base form",
251,breakfast,https://www.handspeak.com/word/b/breakfast.mp4,NN,"noun, singular",
252,breastfeed,https://www.handspeak.com/word/b/breastfeed.mp4,NN,"noun, singular",Health
253,breaststroke,https://www.handspeak.com/word/b/breaststroke.mp4,NN,"noun, singular",
254,breathe,https://www.handspeak.com/word/b/breathe.mp4,NN,"noun, singular",Health
255,gulp,https://www.handspeak.com/word/g/gulp.mp4,NN,"noun, singular",
256,Bremen,https://www.handspeak.com/word/b/bremen.mp4,NNS,noun plural,City
257,brief,https://www.handspeak.com/word/b/brief-short.mp4,NN,"noun, singular",
258,bright,https://www.handspeak.com/word/b/bright.mp4,NN,"noun, singular",
259,brilliant,https://www.handspeak.com/word/b/brilliant.mp4,NN,"noun, singular",
260,bring,https://www.handspeak.com/word/b/bring.mp4,NN,"noun, singular",
261,Brisbane,https://www.handspeak.com/word/b/brisbane-au.mp4,NN,"noun, singular",Country
262,broadcast,https://www.handspeak.com/word/b/broadcast.mp4,NN,"noun, singular",
263,broke,https://www.handspeak.com/word/b/broke-empty.mp4,NN,"noun, singular",
264,brother,https://www.handspeak.com/word/b/brother.mp4,NN,"noun, singular",
265,brown,https://www.handspeak.com/word/b/brown-usa.mp4,NN,"noun, singular",
266,brownnose,https://www.handspeak.com/word/b/brownnose.mp4,NN,"noun, singular",
267,mollycoddle,https://www.handspeak.com/word/m/mollycoddle.mp4,NN,"noun, singular",
268,bruise,https://www.handspeak.com/word/b/bruise-arm.mp4,NN,"noun, singular",Health
269,discolor,https://www.handspeak.com/word/d/discolor.mp4,NN,"noun, singular",
270,blemish,https://www.handspeak.com/word/b/blemish.mp4,NN,"noun, singular",
271,birthmark,https://www.handspeak.com/word/b/birthmark.mp4,NN,"noun, singular",Health
272,brush,https://www.handspeak.com/word/b/brush-comb.mp4,NN,"noun, singular",
273,bubble blower,https://www.handspeak.com/word/b/bubble-blower.mp4,JJ,adjective,
274,bubbles (fizz),https://www.handspeak.com/word/b/bubble-container.mp4,NNS,noun plural,
275,froth,https://www.handspeak.com/word/f/froth.mp4,NN,"noun, singular",
276,Buddhism,https://www.handspeak.com/word/b/buddhism.mp4,NN,"noun, singular",
277,hiccups,https://www.handspeak.com/word/h/hiccups.mp4,NNS,noun plural,
278,budget,https://www.handspeak.com/word/b/budget.mp4,NN,"noun, singular",
279,bug,https://www.handspeak.com/word/b/bug-insect.mp4,NN,"noun, singular",animal
280,build,https://www.handspeak.com/word/b/build.mp4,NN,"noun, singular",
281,bull,https://www.handspeak.com/word/b/bull.mp4,NN,"noun, singular",animal
282,yonder,https://www.handspeak.com/word/y/yonder.mp4,NN,"noun, singular",
283,yourselves,https://www.handspeak.com/word/y/yourselves.mp4,NNS,noun plural,
284,burka,https://www.handspeak.com/word/b/burkha-mesh.mp4,NN,"noun, singular",
285,dupatta,https://www.handspeak.com/word/d/dupatta.mp4,NN,"noun, singular",
286,chador,https://www.handspeak.com/word/c/chador.mp4,NN,"noun, singular",
287,pause,https://www.handspeak.com/word/p/pause.mp4,NN,"noun, singular",
288,business,https://www.handspeak.com/word/b/business.mp4,NN,"noun, singular",
289,busy,https://www.handspeak.com/word/b/busy.mp4,JJ,adjective,
290,but,https://www.handspeak.com/word/b/but.mp4,CC,coordinating conjunction,
291,butter,https://www.handspeak.com/word/b/butter.mp4,NN,"noun, singular",Food
292,butterfly,https://www.handspeak.com/word/b/butterfly.mp4,NN,"noun, singular",
293,button,https://www.handspeak.com/word/b/button.mp4,NN,"noun, singular",
294,buy,https://www.handspeak.com/word/b/buy.mp4,VB,"verb, base form",
295,purchase,https://www.handspeak.com/word/p/purchase.mp4,NN,"noun, singular",
296,bye,https://www.handspeak.com/word/b/bye-wave.mp4,NN,"noun, singular",
297,bye-bye,https://www.handspeak.com/word/b/bye-bye.mp4,NN,"noun, singular",
298,call (give name),https://www.handspeak.com/word/c/call-name.mp4,NN,"noun, singular",
299,call (by phone),https://www.handspeak.com/word/c/call-phone.mp4,NN,"noun, singular",
300,call (summon),https://www.handspeak.com/word/c/call-summon.mp4,NN,"noun, singular",
301,calm,https://www.handspeak.com/word/c/calm.mp4,NN,"noun, singular",
302,serene,https://www.handspeak.com/word/s/serene2.mp4,NN,"noun, singular",
303,camera,https://www.handspeak.com/word/c/camera.mp4,NN,"noun, singular",
304,julienne,https://www.handspeak.com/word/j/julienne.mp4,NN,"noun, singular",
305,camping,https://www.handspeak.com/word/c/camping.mp4,VBG,"verb, gerund/present participle",
306,radar,https://www.handspeak.com/word/r/radar-sound2.mp4,NN,"noun, singular",
307,can,https://www.handspeak.com/word/c/can.mp4,MD,modal could,
308,cannot,https://www.handspeak.com/word/c/cannot.mp4,MD,modal could,
309,Canada,https://www.handspeak.com/word/c/canada.mp4,NNP,"proper noun, singular",Country
310,phoneme,https://www.handspeak.com/word/p/phoneme.mp4,NN,"noun, singular",
311,syllable,https://www.handspeak.com/word/s/syllable2.mp4,JJ,adjective,
312,cancel,https://www.handspeak.com/word/c/cancel.mp4,NN,"noun, singular",
313,cancer,https://www.handspeak.com/word/c/cancer-fs.mp4,NN,"noun, singular",Health
314,candle,https://www.handspeak.com/word/c/candle.mp4,NN,"noun, singular",
315,candy,https://www.handspeak.com/word/c/candy-sweet.mp4,NN,"noun, singular",
316,capitalism,https://www.handspeak.com/word/c/capitalism.mp4,NN,"noun, singular",
317,capture,https://www.handspeak.com/word/c/capture.mp4,NN,"noun, singular",
318,carjacking,https://www.handspeak.com/word/c/carjacking.mp4,VBG,"verb, gerund/present participle",
319,car,https://www.handspeak.com/word/c/car2.mp4,NN,"noun, singular",
320,get in (vehicle),https://www.handspeak.com/word/g/get-in-vehicle.mp4,NN,"noun, singular",
321,car racing,https://www.handspeak.com/word/c/car-racing.mp4,NN,"noun, singular",
322,bumper car,https://www.handspeak.com/word/b/bumper-car.mp4,NN,"noun, singular",
323,life,https://www.handspeak.com/word/l/life.mp4,NN,"noun, singular",Health
324,pull up (vehicle),https://www.handspeak.com/word/p/pull-up-vehicle.mp4,VB,"verb, base form",
325,pull up (vehicle 2),https://www.handspeak.com/word/p/pull-up-vehicle2.mp4,VB,"verb, base form",
326,lean on,https://www.handspeak.com/word/c/lean-on-car.mp4,NN,"noun, singular",
327,car insurance,https://www.handspeak.com/word/c/car-insurance.mp4,NN,"noun, singular",
328,careful,https://www.handspeak.com/word/c/careful.mp4,NN,"noun, singular",
329,couldn't care less,https://www.handspeak.com/word/c/could-care-less.mp4,MD,modal could,
330,care about,https://www.handspeak.com/word/c/care-about.mp4,NN,"noun, singular",
331,care,https://www.handspeak.com/word/c/care-for.mp4,NN,"noun, singular",
332,carry,https://www.handspeak.com/word/c/carry.mp4,NN,"noun, singular",
333,caste,https://www.handspeak.com/word/c/caste.mp4,NN,"noun, singular",
334,cat,https://www.handspeak.com/word/c/cat.mp4,NN,"noun, singular",animal
335,catcall,https://www.handspeak.com/word/c/catcall.mp4,NN,"noun, singular",
336,catch,https://www.handspeak.com/word/c/catch.mp4,NN,"noun, singular",
337,catch 22,https://www.handspeak.com/word/c/catch-22.mp4,NN,"noun, singular",
338,Catholic,https://www.handspeak.com/word/c/catholic.mp4,JJ,adjective,
339,Causacian,https://www.handspeak.com/word/c/causacian.mp4,JJ,adjective,
340,cause,https://www.handspeak.com/word/c/cause.mp4,NN,"noun, singular",
341,celebrate,https://www.handspeak.com/word/c/celebrate.mp4,NN,"noun, singular",
342,triweekly,https://www.handspeak.com/word/t/triweekly.mp4,NN,"noun, singular",
343,fourteen days,https://www.handspeak.com/word/f/fourteen-days.mp4,JJ,adjective,
344,people with disabilities,https://www.handspeak.com/word/p/people-disabilities.mp4,NNS,noun plural,
345,topple,https://www.handspeak.com/word/t/topple.mp4,NN,"noun, singular",
346,center,https://www.handspeak.com/word/c/center.mp4,NN,"noun, singular",
